file	start	end	angles
sdk/packages/gallery/package.json	1	40	src-export-convention,peerdeps-hygiene,dev-only
sdk/packages/gallery/tsconfig.json	1	25	clean-build,paths-resolution,ambient-env
sdk/packages/gallery/src/mock/mockApi.ts	1	120	type-seam,equivalence,api-generic
sdk/packages/gallery/src/mock/mockApi.ts	121	340	equivalence,special-route-di,state-mode-preserve
sdk/packages/gallery/src/mock/mockApi-binary.ts	1	34	equivalence,jsx-free,unit-tested
sdk/packages/gallery/src/registry/types.ts	1	120	type-seam,authoring-contract,backward-compat
sdk/packages/gallery/src/registry/registry-core.ts	1	80	discovery-boundary,collision-invariant,unit-tested
sdk/packages/gallery/src/runtime/config.ts	1	160	di-completeness,seam-purity,variance-safety
sdk/packages/gallery/src/runtime/mount.tsx	1	120	equivalence,eager-ordering,boot-fold
sdk/packages/gallery/src/runtime/pages.tsx	1	360	equivalence,di-completeness,frame-parity
sdk/packages/gallery/src/runtime/surfaces-registry.ts	1	70	eager-ordering,discovery-boundary,assembly-parity
sdk/packages/gallery/src/runtime/surfaces.ts	1	80	equivalence,enumeration-parity,globals-publish
sdk/packages/gallery/src/runtime/GalleryPage.tsx	1	120	security,equivalence,accent-di
sdk/packages/gallery/src/runtime/matrix.ts	1	80	equivalence,accent-generic,playwright-shared
sdk/packages/gallery/src/runtime/useGalleryTheme.ts	1	85	equivalence,theme-writer-di,url-driven
sdk/packages/gallery/src/runtime/story.tsx	1	82	equivalence,testid-parity,verbatim
sdk/packages/gallery/src/runtime/interactions.ts	1	247	equivalence,verbatim,jsx-free-driver
sdk/packages/gallery/src/runtime/lazy.tsx	1	52	equivalence,verbatim,code-split
sdk/packages/gallery/src/runtime/hold.ts	1	47	equivalence,verbatim,unit-tested
sdk/packages/gallery/src/index.ts	1	120	public-surface,export-completeness,seam-purity
sdk/packages/gallery/src/env.d.ts	1	14	clean-build,ambient-css,vite-env
sdk/packages/gallery/scripts/lib/gallery-config.mjs	1	60	script-config,defaults-parity,cwd-resolution
sdk/packages/gallery/scripts/runtime-health.mjs	1	60	script-config,baseline-di,equivalence
sdk/packages/gallery/scripts/gate-ui.mjs	1	60	script-config,visual-di,dev-boot
sdk/packages/gallery/scripts/lib/gallery-surfaces.mjs	1	120	verbatim,enumeration-parity,generic
sdk/packages/gallery/vite/vite-plugin-gallery-alias.js	1	40	verbatim,gallery-url,dev-only
src-app/ui/src/dev/gallery/support/types.ts	1	40	type-seam,binding-alias,backward-compat
src-app/ui/src/dev/gallery/support/index.ts	1	30	backward-compat,barrel-parity,re-export
src-app/ui/src/dev/gallery/support/registry.ts	1	50	discovery-boundary,desktop-bridge,cassette-cast
src-app/ui/src/dev/gallery/support/registry-core.ts	1	15	desktop-parity,re-export-shim,seam
src-app/ui/src/dev/gallery/mockApi.ts	1	50	type-seam,binding-alias,fixtures-parity
src-app/ui/src/dev/gallery/story.tsx	1	10	backward-compat,re-export-shim,stories-parity
src-app/ui/src/dev/gallery/GalleryPage.tsx	1	25	equivalence,in-app-prime,no-mock
src-app/ui/src/dev/gallery/main.tsx	1	20	equivalence,thin-boot,css-import
src-app/ui/src/dev/gallery/galleryConfig.ts	1	200	di-completeness,special-routes,seed-auth
src-app/ui/gallery.config.json	1	16	script-config,defaults-parity,paths
src-app/ui/tsconfig.json	5	13	paths-resolution,clean-build,gallery-alias
src-app/ui/package.json	40	191	dep-hygiene,npm-script-repoint,workspace
src-app/desktop/ui/tsconfig.json	39	48	paths-resolution,clean-build,desktop-alias
src-app/desktop/ui/package.json	13	16	dep-hygiene,workspace,desktop-parity
